index,ref_text,pred_text,cer,wer,audio
0,Playing basketball唔只係對我哋嘅physical health有好處，佢仲可以help 培養我哋team spirit同埋integrity。,playing basketball唔知係對我哋physical health有好處，佢仲可以help我哋preempt我哋team sweat同埋integrity。,0.2,1.0,./audio/968.wav
1,我常喺online platforms搵discount codes同cashback offers，咁就可以更加save money當我shopping，真係smart同埋practical。,我常喺online platforms揾discount codes同埋cash back offers，咁就可以更加save money。當我shopping，真係smart同埋practical。,0.0412,0.8,./audio/240.wav
2,準備返一份comprehensive嘅report，呢個就係我哋嘅weekly task嘅一部分。,準備翻一份competitive嘅report，呢個就係我哋嘅weekly task嘅一部分。,0.1224,0.5,./audio/819.wav
3,Hong Kong government 個response to the pandemic證實咗我哋嘅public health infrastructure 有好大嘅改善空間。,香港政府作response to the pandemic，證明咗我哋嘅public health infrastructure有好大嘅改善空間。,0.2778,0.7,./audio/692.wav
4,我見到呢個brand新出嘅collection，袋同鞋都好match，我決定要invest喺佢哋嘅產品上，我覺得我make a good decision啦。,我見到呢個brand新出嘅collection，袋同鞋都好match。我決定要invest喺佢地嘅產品上，我覺得我make個good decision啦～,0.0759,1.0,./audio/420.wav
5,學習中我哋會遇到好多挑戰同難題，但just remember佢哋都係我哋個personal growth嘅一部分。,學習中，我哋會遇到好多問題同挑戰，但just remember佢哋都係我哋personal group嘅一部分。,0.1579,1.0,./audio/1085.wav
6,睇得太远可能會miss住身邊嘅opportunity，即使個目标未到，都要appreciate每一步嘅progress。,睇得太遠，可能會 miss 咗身邊嘅 opportunity，即係目標未到，都要 appreciate 每一步嘅 progress。,0.2,7.0,./audio/1998.wav
7,"Dinner我一定煮番杯雞蛋炒飯，simplicity之餘又富有飽足感，得心應手到唔得了!""",邊來一定煮杯雞板醃飯先？佢先知魚頭富有爆竹感，得心應手，到唔得了。,0.6304,1.0,./audio/365.wav
8,今年summer好热，仔细皮肤都会被sunburn。,今年新聞好熱，指曬皮膚都會被生 burn。,0.5385,2.0,./audio/1022.wav
9,香港嘅Population ageing問題越嚟越嚴重，政府需要plan ahead for elderly care services。,香港嘅population ageing問題越來越嚴重，政府需要plan ahead for elderly care services。,0.029,0.2857,./audio/1240.wav
10,Badminton 係我最鐘意嘅運動，因為佢需要一種rapid reflexes 同埋sharp movements。,踢人型係我最中意嘅活動，因為佢需要一種rapid reflexes同埋sharp movements。,0.2203,0.8,./audio/588.wav
11,唔喜欢咁humid嘅天气，令我感觉好涓涓。,唔喜歡咁少米嘅天氣，令我感覺好娟娟。,0.4762,1.0,./audio/736.wav
12,我去過England嘅Stonehenge，dat ancient site嘅mystery真係令人fascinated,我去過英國嘅Stonehenge。That and see set嘅My Street新係令人喘息呢？,0.5667,1.6667,./audio/1761.wav
13,你聽過冇potato gratin？烤到嘅cheese係golden brown咁樣，一bite落去你會覺得wow！,你有冇聽過ポテトground天烤到咁嘅 cheese，同golden brown咁樣一比數，係你會覺得哇？,0.5,1.0,./audio/941.wav
14,呢個weekend我要去attend一個workshop，針對音樂製作，真係好期待。,呢個weekend我要去attempt一個workshop，針對音樂製作，真係好期待。,0.0714,1.0,./audio/71.wav
15,放假嘅時候，我鍾意去附近嘅theme park，享受下roller coaster同其他exciting rides同遊戲。,放假嘅時候，我中意去附近嘅St. Park，享受下Rollercoaster同其他exciting ride同遊戲。,0.1613,1.0,./audio/1407.wav
16,除咗工作，work-life balance都好重要，我哋需要時刻保持自己嘅physical and mental health。,除咗工作，work life balance都好重要。我哋需要保持保自己嘅physical and mental health。,0.0769,0.6,./audio/259.wav
17,我見到新聞嘅headline話廣告牌嘅管理問題，我覺得呢個problem要迅速咁解決，避免任何potential hazards。,我見到新聞嘅headline話廣告牌嘅管理問題，我覺得呢個problem要迅速咁解決，避免任何potential hazards。,0.0,0.0,./audio/51.wav
18,我計劃喺Australia過迎新年，去佢哋嘅beach party定好架！,我計劃喺澳洲遊過迎新年，去佢哋嘅 beach party，定好㗎～,0.3514,1.5,./audio/198.wav
19,Gender equality一直都係一個重要既議題，喺香港，我哋應該俾更多嘅opportunity比女性，改善佢哋嘅social status。,Gender equality一直都係一個重要嘅議題。喺香港，我哋應該比更多嘅opportunity俾女性改善佢哋嘅social figure。,0.1507,0.6667,./audio/1788.wav
